Id,Name,DuplicateRule.DeveloperName,RecordCount,CreatedDate,LastModifiedDate
0GKgK000000Jd2TWAS,DRS-0000000001,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:07.000+0000,2026-08-24T15:30:49.000+0000
0GKgK000000Jd45WAC,DRS-0000000002,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:07.000+0000,2026-08-24T15:31:03.000+0000
0GKgK000000Jd2UWAS,DRS-0000000003,Standard_Account_Duplicate_Rule,0,2026-08-17T07:54:07.000+0000,2026-08-24T15:31:14.000+0000
0GKgK000000Jd5hWAC,DRS-0000000004,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:07.000+0000,2026-08-24T15:30:52.000+0000
0GKgK000000Jd7JWAS,DRS-0000000005,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:07.000+0000,2026-08-24T15:30:42.000+0000
0GKgK000000Jd46WAC,DRS-0000000006,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:07.000+0000,2026-08-24T06:20:49.000+0000
0GKgK000000Jd2VWAS,DRS-0000000007,Standard_Account_Duplicate_Rule,0,2026-08-17T07:54:07.000+0000,2026-08-24T15:31:10.000+0000
0GKgK000000Jd8vWAC,DRS-0000000008,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:07.000+0000,2026-08-24T15:31:09.000+0000
0GKgK000000Jd5iWAC,DRS-0000000009,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:07.000+0000,2026-08-24T15:31:15.000+0000
0GKgK000000JdAXWA0,DRS-0000000010,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:08.000+0000,2026-08-24T15:30:46.000+0000
0GKgK000000Jd7KWAS,DRS-0000000011,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:08.000+0000,2026-08-24T15:30:45.000+0000
0GKgK000000Jd47WAC,DRS-0000000012,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:08.000+0000,2026-08-24T15:31:07.000+0000
0GKgK000000Jd2WWAS,DRS-0000000013,Standard_Account_Duplicate_Rule,0,2026-08-17T07:54:08.000+0000,2026-08-24T15:31:00.000+0000
0GKgK000000Jd8wWAC,DRS-0000000014,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:08.000+0000,2026-08-24T06:41:22.000+0000
0GKgK000000Jd5jWAC,DRS-0000000015,Standard_Account_Duplicate_Rule,0,2026-08-17T07:54:08.000+0000,2026-08-24T15:30:40.000+0000
0GKgK000000JdAYWA0,DRS-0000000016,Standard_Account_Duplicate_Rule,0,2026-08-17T07:54:08.000+0000,2026-08-24T15:30:52.000+0000
0GKgK000000JdC9WAK,DRS-0000000017,Standard_Account_Duplicate_Rule,0,2026-08-17T07:54:08.000+0000,2026-08-24T15:30:49.000+0000
0GKgK000000Jd7LWAS,DRS-0000000018,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:08.000+0000,2026-08-24T15:30:43.000+0000
0GKgK000000Jd48WAC,DRS-0000000019,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:08.000+0000,2026-08-24T15:31:05.000+0000
0GKgK000000Jd2XWAS,DRS-0000000020,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:09.000+0000,2026-08-24T15:31:04.000+0000
0GKgK000000Jd8xWAC,DRS-0000000021,Standard_Account_Duplicate_Rule,0,2026-08-17T07:54:09.000+0000,2026-08-24T15:31:13.000+0000
0GKgK000000JdDlWAK,DRS-0000000022,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:09.000+0000,2026-08-24T15:30:58.000+0000
0GKgK000000JdAZWA0,DRS-0000000023,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:09.000+0000,2026-08-24T15:31:08.000+0000
0GKgK000000JdCAWA0,DRS-0000000024,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:09.000+0000,2026-08-24T15:31:14.000+0000
0GKgK000000Jd7MWAS,DRS-0000000025,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:09.000+0000,2026-08-23T20:46:53.000+0000
0GKgK000000Jd8yWAC,DRS-0000000026,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:09.000+0000,2026-08-24T06:39:23.000+0000
0GKgK000000JdDmWAK,DRS-0000000027,Standard_Account_Duplicate_Rule,0,2026-08-17T07:54:09.000+0000,2026-08-24T15:31:01.000+0000
0GKgK000000JdAaWAK,DRS-0000000028,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:09.000+0000,2026-08-24T15:31:02.000+0000
0GKgK000000JdCBWA0,DRS-0000000029,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:09.000+0000,2026-08-24T15:30:39.000+0000
0GKgK000000Jd7NWAS,DRS-0000000030,Standard_Account_Duplicate_Rule,1,2026-08-17T07:54:10.000+0000,2026-08-24T06:47:27.000+0000
